method,assignment,f1_neg_throughput,throughput,f2_interference,f3_energy
Classical-Seeded Evolutionary MOO,0-0-2-1-0-1-2-1,-17.4980853148783,17.4980853148783,1.3639521791535456,8.095860245137002
Classical-Seeded Evolutionary MOO,1-1-0-2-0-2-2-1,-13.58443968612538,13.58443968612538,2.0185953292379737,7.4163037077047065
Classical-Seeded Evolutionary MOO,1-1-1-2-0-2-2-0,-15.245039468499918,15.245039468499918,1.4883933053952698,7.97987045811805
Classical-Seeded Evolutionary MOO,0-2-2-1-0-1-1-2,-21.211819839736055,21.211819839736055,1.657149463297496,8.114376101252997
Classical-Seeded Evolutionary MOO,0-0-2-1-0-1-1-2,-18.816460465430374,18.816460465430374,1.359783377571796,8.626458998141036
Classical-Seeded Evolutionary MOO,0-1-2-2-0-2-1-2,-16.929105603071854,16.929105603071854,1.9056875311597894,7.448356324798544
Classical-Seeded Evolutionary MOO,1-1-1-2-0-2-1-1,-13.05094205044962,13.05094205044962,4.357585533510819,6.868792431204768
Classical-Seeded Evolutionary MOO,1-1-1-2-0-2-2-1,-13.896226500183664,13.896226500183664,2.56476072699969,6.952039482487361
Classical-Seeded Evolutionary MOO,1-1-2-2-0-1-2-1,-12.43917005178239,12.43917005178239,2.8639153781481057,6.945584539567906
Classical-Seeded Evolutionary MOO,1-1-2-2-0-2-2-1,-12.389194083021975,12.389194083021975,2.588057701690672,6.558610858104487
Quantum-Seeded Evolutionary MOO,2-0-0-1-2-1-1-0,-22.86223251174867,22.86223251174867,1.657149463297496,11.184688140305568
Quantum-Seeded Evolutionary MOO,2-1-1-0-2-1-0-1,-23.150184568542446,23.150184568542446,2.4894635807248444,9.936298615036378
Quantum-Seeded Evolutionary MOO,0-1-2-2-0-2-1-1,-15.20129038538873,15.20129038538873,2.4438772032578733,6.834510520511917
Quantum-Seeded Evolutionary MOO,0-0-2-1-0-1-1-2,-18.816460465430374,18.816460465430374,1.359783377571796,8.626458998141036
Quantum-Seeded Evolutionary MOO,0-2-1-2-0-1-2-1,-17.181892293792135,17.181892293792135,1.5715655081261448,7.643781679910842
Quantum-Seeded Evolutionary MOO,0-2-0-1-0-1-1-2,-19.84507061282532,19.84507061282532,1.3029764301880027,8.972068950853217
Quantum-Seeded Evolutionary MOO,0-2-0-1-0-1-2-1,-18.655489476750382,18.655489476750382,1.4003728666104676,8.441470197849181
Quantum-Seeded Evolutionary MOO,0-2-2-1-0-1-1-2,-21.211819839736055,21.211819839736055,1.657149463297496,8.114376101252997
Quantum-Seeded Evolutionary MOO,1-1-2-0-2-0-0-2,-19.254573905968126,19.254573905968126,1.3847250409306042,8.874451920840702
Quantum-Seeded Evolutionary MOO,2-0-2-1-2-1-1-1,-21.223438982587293,21.223438982587293,1.5968500497280333,9.299164315074659
Quantum-Seeded Evolutionary MOO,2-1-1-0-2-0-0-1,-22.575611506461197,22.575611506461197,1.657149463297496,9.605009932304307
Quantum-Seeded Evolutionary MOO,2-1-2-0-2-0-0-1,-21.05680945567726,21.05680945567726,1.3029764301880027,9.211581307921433
Quantum-Seeded Evolutionary MOO,2-1-2-0-2-1-0-1,-21.419161200650287,21.419161200650287,1.790819254971825,9.542869990653504
Quantum-Seeded Evolutionary MOO,1-1-2-2-0-2-2-1,-12.389194083021975,12.389194083021975,2.588057701690672,6.558610858104487
Quantum-Seeded Evolutionary MOO,0-0-1-2-0-2-2-1,-15.528083070256582,15.528083070256582,1.359783377571796,7.768890895335465
Quantum-Seeded Evolutionary MOO,0-2-2-1-0-2-1-1,-17.319284116820157,17.319284116820157,2.303796521640068,7.11355661550295
Quantum-Seeded Evolutionary MOO,0-2-2-1-0-1-2-1,-20.04129041208363,20.04129041208363,1.7226974252972254,7.5837773482489625
Quantum-Seeded Evolutionary MOO,0-1-2-2-0-2-2-1,-16.437034490792456,16.437034490792456,1.776442620314589,6.91775757179451
Quantum-Seeded Evolutionary MOO,0-2-0-1-0-1-1-1,-19.633831743877995,19.633831743877995,1.5968500497280333,8.358223146566589
Quantum-Seeded Evolutionary MOO,0-0-2-1-0-1-2-1,-17.4980853148783,17.4980853148783,1.3639521791535456,8.095860245137002
Quantum-Seeded Evolutionary MOO,0-1-2-1-0-2-2-1,-16.840928027308987,16.840928027308987,1.6581604308135909,7.251181864515505
Quantum-Seeded Evolutionary MOO,0-1-2-1-0-2-1-2,-18.16990173830334,18.16990173830334,1.5715655081261448,7.781780617519539
Quantum-Seeded Evolutionary MOO,0-1-0-2-0-2-2-1,-16.362415922200103,16.362415922200103,1.3029764301880027,7.77545042139473
Quantum-Seeded Evolutionary MOO,0-1-1-2-0-2-2-1,-17.66644777673883,17.66644777673883,1.657149463297496,7.311186196177385
Quantum-Seeded Evolutionary MOO,1-2-2-2-0-2-2-1,-9.925360783851742,9.925360783851742,4.098401707347421,6.504232660374525
Quantum-Seeded Evolutionary MOO,0-2-2-2-0-2-1-1,-14.141991339642379,14.141991339642379,3.1130230112815083,6.780132322781957
Quantum-Seeded Evolutionary MOO,0-2-2-1-0-1-1-1,-19.724861694178895,19.724861694178895,1.7297745161890012,7.500530296966369
Quantum-Seeded Evolutionary MOO,1-2-2-2-0-0-1-1,-7.139461983568435,7.139461983568435,4.606709770631827,6.47667060782328
